Название;Категория;Описание;Виды;Фото;Tilda UID
таблетки ВЕТЛАНЕР 1000 мг;Прочее;Таблетки для приёма внутрь.;Собака;tabletki_vetlaner_1000_mg.jpg;653163314543
таблетки ВЕТЛАНЕР 112,5 мг;Прочее;Таблетки для приёма внутрь.;Собака;tabletki_vetlaner_112_5_mg.jpg;286913888373
таблетки ВЕТЛАНЕР 250 мг;Прочее;Таблетки для приёма внутрь.;Собака;tabletki_vetlaner_250_mg.jpg;975783366243
таблетки ВЕТЛАНЕР 500 мг;Прочее;Таблетки для приёма внутрь.;Собака;tabletki_vetlaner_500_mg.jpg;653975400843
таблетки ВЕТОФЕН 20 мг;Прочее;Таблетки для перорального применения.;Собака;tabletki_vetofen_20_mg.jpg;161980645273
таблетки ВЕТОФЕН 50 мг;Прочее;Таблетки для перорального применения.;Собака;tabletki_vetofen_50_mg.jpg;399403409423
таблетки ДИУВЕТ 0,75 мг;Прочее;Таблетки для перорального применения.;Собака;tabletki_diuvet_0_75_mg.jpg;483835813633
таблетки ДИУВЕТ 3 мг;Прочее;Таблетки для перорального применения.;Собака;tabletki_diuvet_3_mg.jpg;975318670933
таблетки КАРДИОСЭЙФ 1,25 мг;Прочее;Таблетки для перорального применения.;Собака;tabletki_kardioseyf_1_25_mg.jpg;784489984213
таблетки КАРДИОСЭЙФ 2,5 мг;Прочее;Таблетки для перорального применения.;Собака;tabletki_kardioseyf_2_5_mg.jpg;535196662653
таблетки КАРДИОСЭЙФ 5 мг;Прочее;Таблетки для перорального применения.;Собака;tabletki_kardioseyf_5_mg.jpg;664862477543
таблетки МЕЛАКСА 1мг;Прочее;Таблетки для приёма внутрь.;Собака;tabletki_melaksa_1mg.jpg;257436638133
таблетки МЕЛАКСА 2,5 мг;Прочее;Таблетки для приёма внутрь.;Собака;tabletki_melaksa_2_5_mg.jpg;824030314553
таблетки РАБЕНА 10 мг;Прочее;Таблетки для перорального применения.;Собака;tabletki_rabena_10_mg.jpg;387827829133
таблетки РАБЕНА 20 мг;Прочее;Таблетки для перорального применения.;Собака;tabletki_rabena_20_mg.jpg;470825503493
таблетки РАБЕНА 5 мг;Прочее;Таблетки для перорального применения.;Собака;tabletki_rabena_5_mg.jpg;785258957613
таблетки ТРИЛАНЕР 12;Прочее;Таблетки;Собака;tabletki_trilaner_12.jpg;808683106933
таблетки ТРИЛАНЕР 24;Прочее;Таблетки;Собака;tabletki_trilaner_24.jpg;345074665093
таблетки ТРИЛАНЕР 3;Прочее;Таблетки;Собака;tabletki_trilaner_3.jpg;556610967413
таблетки ТРИЛАНЕР 48;Прочее;Таблетки;Собака;tabletki_trilaner_48.jpg;615510462943
таблетки ТРИЛАНЕР 6;Прочее;Таблетки;Собака;tabletki_trilaner_6.jpg;184805455613
таблетки ФОРТЕПРИЛ 20 мг;Прочее;Таблетки;Собака;tabletki_fortepril_20_mg.jpg;212554169233
таблетки ФОРТЕПРИЛ 5 мг;Прочее;Таблетки.;Собака;tabletki_fortepril_5_mg.jpg;965955149283
